case_id,cosine,finite,generated_noise,known_pixel_max_diff,l2_error,method,mse,noise_ratio,noise_source,psnr,runtime_sec,seed,source,ssim
A_ratio_04_06_08_seed_2026,0.6380434618805136,True,True,0.0,144.3301221151607,degraded,0.30861013555225475,"[0.4, 0.6, 0.8]",,5.1058981468851865,1.920000067912042e-05,2026,A.png,0.046389197562950436
A_ratio_04_06_08_seed_2026,0.9965219052984838,True,True,0.0,15.630516797866363,telea_only,0.0036194526721241857,"[0.4, 0.6, 0.8]",,24.41357097822572,0.020583999998052604,2026,A.png,0.8175580392189423
A_ratio_04_06_08_seed_2026,0.9950642237302307,True,True,0.0,18.613194808580783,local_mean_only,0.005132607718254498,"[0.4, 0.6, 0.8]",,22.8966192730513,0.0014867000027152244,2026,A.png,0.7532361021558028
A_ratio_04_06_08_seed_2026,0.9983061934867062,True,True,0.0,10.91230851179563,linear_ridge_main,0.0017641255860238129,"[0.4, 0.6, 0.8]",,27.534705011907445,0.2114490999992995,2026,A.png,0.8945792254347144
A_ratio_04_06_08_seed_2026,0.9974177566796119,True,True,0.0,13.468230494424386,quadratic_gaussian_main_modify,0.0026873071503843403,"[0.4, 0.6, 0.8]",,25.706826922964513,0.0792619999992894,2026,A.png,0.8553441105380681
A_ratio_04_06_08_seed_2026,0.9969380510610907,True,True,0.0,14.672282732615972,adaptive_rgb_no_ycrcb,0.0031892723049751232,"[0.4, 0.6, 0.8]",,24.96308398443051,0.13801299999977346,2026,A.png,0.7949709011419913
A_ratio_04_06_08_seed_2026,0.9983061934867062,True,True,0.0,10.91230851179563,fixed_window_ycrcb,0.0017641255860238129,"[0.4, 0.6, 0.8]",,27.534705011907445,0.24185889999716892,2026,A.png,0.8945792254347144
A_ratio_04_06_08_seed_2026,0.9980194948750392,True,True,0.0,11.80648276119676,full_adaptive_ycrcb,0.002065082002821278,"[0.4, 0.6, 0.8]",,26.85062698164635,0.25421170000117854,2026,A.png,0.8543656389939048
sample_forest,0.9396800266190712,True,False,0.0,56.23529936674888,degraded,0.046850502146190624,,forest_random_noise.png,13.292857499597462,2.2899999748915434e-05,,forest.png,0.36087861066284993
sample_forest,0.9406890052187382,True,False,0.0,56.143106842547986,telea_only,0.04669701401383347,,forest_random_noise.png,13.307108890008124,0.0011128000005555805,,forest.png,0.36265809139396915
sample_forest,0.9406822803475476,True,False,0.0,56.144418734759896,local_mean_only,0.04669919637131938,,forest_random_noise.png,13.306905929778809,0.0005017000003135763,,forest.png,0.36256367722099
sample_forest,0.9406889491596718,True,False,0.0,56.14172326119456,linear_ridge_main,0.04669471245535636,,forest_random_noise.png,13.307322946260081,0.046005299998796545,,forest.png,0.36288452375320196
sample_forest,0.9406901230017116,True,False,0.0,56.14288766271659,quadratic_gaussian_main_modify,0.04669664940901354,,forest_random_noise.png,13.307142799345346,0.0220316000013554,,forest.png,0.3626324102277845
sample_forest,0.9406902716859808,True,False,0.0,56.14296426795799,adaptive_rgb_no_ycrcb,0.04669677684138087,,forest_random_noise.png,13.307130947724485,0.07352739999987534,,forest.png,0.3626221814523077
sample_forest,0.9406889491596718,True,False,0.0,56.14172326119456,fixed_window_ycrcb,0.04669471245535636,,forest_random_noise.png,13.307322946260081,0.05098020000150427,,forest.png,0.36288452375320196
sample_forest,0.9406906092902001,True,False,0.0,56.141898034425985,full_adaptive_ycrcb,0.046695003183820506,,forest_random_noise.png,13.307295906501613,0.12939019999976153,,forest.png,0.3628869707901586
sample_mona_lisa,0.958178003434436,True,False,0.0,53.14580254810018,degraded,0.04184409375528371,,mona_lisa_random_noise.png,13.783658335012445,2.3199998395284638e-05,,mona_lisa.png,0.41409940940455997
sample_mona_lisa,0.958178003434436,True,False,0.0,53.14580254810018,telea_only,0.04184409375528371,,mona_lisa_random_noise.png,13.783658335012445,0.00012069999866071157,,mona_lisa.png,0.41409940940455997
